project_name,start_date,end_date,dslbd_proposed_budget,dslbd_approved_budget,non-dslbd_budget,total_proposed_project_costs,total_amount_submitted_by_grantee,total_cbe_expense_amount,approved_expenses,remaining_dslbd_funds_ytd,add_expense,year,proposal_number,org_code
ED salary,2016-01-01 00:00:00,2016-09-30 00:00:00,37500.0,37500.0,12500,50000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=502&z=biah,2016,37,DCH
SIPS,2016-01-01 00:00:00,2016-09-30 00:00:00,10000.0,10000.0,0,10000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=503&z=biah,2016,37,DCH
DCH Branding,2016-01-01 00:00:00,2016-09-30 00:00:00,4300.0,4300.0,0,4300.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=564&z=biah,2016,37,DCH
Business Adopt a Box- Tree box clean up,2016-05-02 00:00:00,2016-09-30 00:00:00,2000.0,2000.0,2000,4000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=563&z=biah,2016,37,DCH
Art Mural,2016-03-01 00:00:00,2016-05-31 00:00:00,2500.0,2500.0,0,2500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=562&z=biah,2016,37,DCH
MS Street Pole Banners,2016-03-01 00:00:00,2016-06-30 00:00:00,9500.0,9500.0,0,9500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=561&z=biah,2016,37,DCH
Main Street Training ,2016-01-01 00:00:00,2016-09-30 00:00:00,7000.0,7000.0,0,7000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=544&z=biah,2016,37,DCH
Business Re-Branding/Marketing,2016-05-09 00:00:00,2016-09-30 00:00:00,10000.0,10000.0,0,10000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=545&z=biah,2016,37,DCH
MS Conference Registration,2016-05-22 00:00:00,2016-05-25 00:00:00,1000.0,1000.0,0,1000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=546&z=biah,2016,37,DCH
MS Conference Registration Travel ,2016-05-22 00:00:00,2016-05-25 00:00:00,2000.0,2000.0,0,2000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=548&z=biah,2016,37,DCH
DCH Website Design ,2016-01-01 00:00:00,2016-09-30 00:00:00,3000.0,3000.0,0,3000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=557&z=biah,2016,37,DCH
DCH Logo Design ,2016-01-01 00:00:00,2016-02-29 00:00:00,1500.0,1500.0,0,1500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=558&z=biah,2016,37,DCH
Main Streets Re-launch/Ribbon Cutting ,2016-05-02 00:00:00,2016-05-02 00:00:00,500.0,500.0,1500,2000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=574&z=biah,2016,37,DCH
CH Parade & Festival,2016-01-01 00:00:00,2016-05-07 00:00:00,15000.0,15000.0,15000,30000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=549&z=biah,2016,37,DCH
CH Great Street Small Biz Awards,2016-05-06 00:00:00,2016-05-06 00:00:00,3500.0,0.0,3000,6500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=547&z=biah,2016,37,DCH
"""Honoring Congress Heights"" Historic Art Exhibit",2016-05-01 00:00:00,2016-05-07 00:00:00,1000.0,0.0,1500,2500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=575&z=biah,2016,37,DCH
Market Research  ,2016-04-11 00:00:00,2016-07-29 00:00:00,11000.0,11000.0,0,11000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=559&z=biah,2016,37,DCH
Interior/Exterior Re-Design Consultant,2016-04-04 00:00:00,2016-09-30 00:00:00,2200.0,2200.0,0,2200.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=560&z=biah,2016,37,DCH
Art All Night,2016-08-01 00:00:00,2016-09-30 00:00:00,10000.0,10000.0,10000,20000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=576&z=biah,2016,37,DCH
Storefront Improvements,2014-10-01 00:00:00,2014-12-29 00:00:00,5000.0,5000.0,3900,8900.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=383&z=bh88,2015,29,SMS
Collaborative Cross Promotions,2014-10-01 00:00:00,2015-09-30 00:00:00,33000.0,33000.0,8000,41000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=382&z=bh88,2015,29,SMS
Social Media & Web Marketing,2014-10-01 00:00:00,2015-09-30 00:00:00,4000.0,4000.0,0,4000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=385&z=bh88,2015,29,SMS
Business Owner Meet & Greet and Business Buzz Breakfast,2014-10-01 00:00:00,2015-09-30 00:00:00,500.0,500.0,1800,2300.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=386&z=bh88,2015,29,SMS
Banners,2015-03-01 00:00:00,2015-09-30 00:00:00,8000.0,8000.0,0,8000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=384&z=bh88,2015,29,SMS
Black History Month Event,2015-02-02 00:00:00,2015-02-28 00:00:00,250.0,250.0,0,250.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=381&z=bh88,2015,29,SMS
Update Business Directory and Dining Guide,2015-02-01 00:00:00,2015-09-30 00:00:00,5000.0,5000.0,0,5000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=380&z=bh88,2015,29,SMS
ED Salary,2014-10-01 00:00:00,2015-09-30 00:00:00,37500.0,37500.0,30000,67500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=389&z=bh88,2015,29,SMS
