ward,street_number,street_name,street_type,quadrant,square_suffix_lot,full_address
1,2002,11TH,ST,NW,0304 0027,"2002 11TH ST NW Washington, DC"
1,2002,11TH,ST,NW,0304 0825,"2002 11TH ST NW Washington, DC"
1,2001,11TH,ST,NW,0332 0080,"2001 11TH ST NW Washington, DC"
1,982,FLORIDA,AVE,NW,0357 0098,"982 FLORIDA AVE NW Washington, DC"
1,2014,9TH,ST,NW,0360 0078,"2014 9TH ST NW Washington, DC"
1,2012,9th,ST,NW,0360 0079,"2012 9th ST NW Washington, DC"
1,900,FLORIDA,AVE,NW,0360 0102,"900 FLORIDA AVE NW Washington, DC"
1,944,WESTMINSTER,ST,NW,0362 0257,"944 WESTMINSTER ST NW Washington, DC"
1,1913,9TH,ST,NW,0393 0049,"1913 9TH ST NW Washington, DC"
1,1911,8TH,ST,NW,0416 0806,"1911 8TH ST NW Washington, DC"
1,715,S,ST,NW,0417 0036,"715 S ST NW Washington, DC"
1,1824,CALVERT,ST,NW,2548 0031,"1824 CALVERT ST NW Washington, DC"
1,2440,18TH,ST,NW,2551 0046,"2440 18TH ST NW Washington, DC"
1,2412,18TH,ST,NW,2551 0062,"2412 18TH ST NW Washington, DC"
1,2224,18TH,ST,NW,2553 0829,"2224 18TH ST NW Washington, DC"
1,2102,18TH,ST,NW,2554 0813,"2102 18TH ST NW Washington, DC"
1,2329,CHAMPLAIN,ST,NW,2563 0113,"2329 CHAMPLAIN ST NW Washington, DC"
1,2601,16TH,ST,NW,2574 0831,"2601 16TH ST NW Washington, DC"
1,1766,LANIER,PL,NW,2580 0481,"1766 LANIER PL NW Washington, DC"
1,1725,COLUMBIA,RD,NW,2581 0283,"1725 COLUMBIA RD NW Washington, DC"
1,1828,ONTARIO,PL,NW,2583 0438,"1828 ONTARIO PL NW Washington, DC"
1,2920,18TH,ST,NW,2587 0490,"2920 18TH ST NW Washington, DC"
1,3120,16TH,ST,NW,2595 0814,"3120 16TH ST NW Washington, DC"
1,1730,KENYON,ST,NW,2597 0126,"1730 KENYON ST NW Washington, DC"
1,1756,KILBOURNE,PL,NW,2600 0096,"1756 KILBOURNE PL NW Washington, DC"
1,1723,KENYON,ST,NW,2600 0130,"1723 KENYON ST NW Washington, DC"
1,2022,KLINGLE,RD,NW,2605 0027,"2022 KLINGLE RD NW Washington, DC"
1,1735,PARK,RD,NW,2613 0814,"1735 PARK RD NW Washington, DC"
1,1445,FLORIDA,AVE,NW,2660 0209,"1445 FLORIDA AVE NW Washington, DC"
1,1433,CLIFTON,ST,NW,2664 0801,"1433 CLIFTON ST NW Washington, DC"
1,1431,MONROE,ST,NW,2677 0579,"1431 MONROE ST NW Washington, DC"
1,1410,NEWTON,ST,NW,2677 0631,"1410 NEWTON ST NW Washington, DC"
1,3560,14TH,ST,NW,2688 0020,"3560 14TH ST NW Washington, DC"
1,3509,14TH,ST,NW,2827S 0053,"3509 14TH ST NW Washington, DC"
1,3571,10TH,ST,NW,2831 0042,"3571 10TH ST NW Washington, DC"
1,3550,ROCK CREEK CHURCH,RD,NW,2831 0140,"3550 ROCK CREEK CHURCH RD NW Washington, DC"
1,3520,10TH,ST,NW,2832 0833,"3520 10TH ST NW Washington, DC"
1,3528,13TH,ST,NW,2834 0113,"3528 13TH ST NW Washington, DC"
1,3451,14TH,ST,NW,2835 0079,"3451 14TH ST NW Washington, DC"
1,1356,NEWTON,ST,NW,2836 0061,"1356 NEWTON ST NW Washington, DC"
1,3415,14TH,ST,NW,2836 0120,"3415 14TH ST NW Washington, DC"
1,3417,14TH,ST,NW,2836 0121,"3417 14TH ST NW Washington, DC"
1,1014,PARK,RD,NW,2841 0110,"1014 PARK RD NW Washington, DC"
1,1345,KENYON,ST,NW,2843 0074,"1345 KENYON ST NW Washington, DC"
1,1313,IRVING,ST,NW,2848 0804,"1313 IRVING ST NW Washington, DC"
1,3013,13TH,ST,NW,2850 0168,"3013 13TH ST NW Washington, DC"
